id,capabilityKey,zenotiFeature,workflow,officialUrl,releaseDate,businessVerticals,publicAvailability,sourceType,sourceRowIds,ui,apiRoute,routeState,serviceRepository,databaseTables,permission,auditEvent,providerDevice,automatedTest,uatEvidence,status,blocker
"API-001","api_changelog_index:api-001","API Change Log - 03 Mar 2026","api_change","https://docs.zenoti.com/changelog/api-change-log-03-mar-2026","2026-03-03","{""salon"":true,""spa"":true,""medspa"":true,""fitness"":true,""barbershop"":true}","public","api_changelog_index","[]","NOT_EVIDENCED_IN_PHASE_0:UI","NOT_EVIDENCED_IN_PHASE_0:API_ROUTE","not_evidenced","NOT_EVIDENCED_IN_PHASE_0:SERVICE_REPOSITORY","NOT_EVIDENCED_IN_PHASE_0:DATABASE_TABLES","NOT_EVIDENCED_IN_PHASE_0:PERMISSION","NOT_EVIDENCED_IN_PHASE_0:AUDIT_EVENT","NOT_EVIDENCED_IN_PHASE_0:PROVIDER_DEVICE","NOT_EVIDENCED_IN_PHASE_0:AUTOMATED_TEST","NOT_EVIDENCED_IN_PHASE_0:UAT_EVIDENCE","Unmapped","No AuraShine evidence is mapped for this public Zenoti capability."
"API-002","api_changelog_index:api-002","API Change Log - 16 June 2026","api_change","https://docs.zenoti.com/changelog/api-change-log-16-june-2026","2026-06-16","{""salon"":true,""spa"":true,""medspa"":true,""fitness"":true,""barbershop"":true}","public","api_changelog_index","[]","NOT_EVIDENCED_IN_PHASE_0:UI","NOT_EVIDENCED_IN_PHASE_0:API_ROUTE","not_evidenced","NOT_EVIDENCED_IN_PHASE_0:SERVICE_REPOSITORY","NOT_EVIDENCED_IN_PHASE_0:DATABASE_TABLES","NOT_EVIDENCED_IN_PHASE_0:PERMISSION","NOT_EVIDENCED_IN_PHASE_0:AUDIT_EVENT","NOT_EVIDENCED_IN_PHASE_0:PROVIDER_DEVICE","NOT_EVIDENCED_IN_PHASE_0:AUTOMATED_TEST","NOT_EVIDENCED_IN_PHASE_0:UAT_EVIDENCE","Unmapped","No AuraShine evidence is mapped for this public Zenoti capability."
"API-003","api_changelog_index:api-003","API Change Log - 17 March 2026 - DRAFT","api_change","https://docs.zenoti.com/changelog/api-change-log-17-march-2026-draft","2026-03-17","{""salon"":true,""spa"":true,""medspa"":true,""fitness"":true,""barbershop"":true}","public","api_changelog_index","[]","NOT_EVIDENCED_IN_PHASE_0:UI","NOT_EVIDENCED_IN_PHASE_0:API_ROUTE","not_evidenced","NOT_EVIDENCED_IN_PHASE_0:SERVICE_REPOSITORY","NOT_EVIDENCED_IN_PHASE_0:DATABASE_TABLES","NOT_EVIDENCED_IN_PHASE_0:PERMISSION","NOT_EVIDENCED_IN_PHASE_0:AUDIT_EVENT","NOT_EVIDENCED_IN_PHASE_0:PROVIDER_DEVICE","NOT_EVIDENCED_IN_PHASE_0:AUTOMATED_TEST","NOT_EVIDENCED_IN_PHASE_0:UAT_EVIDENCE","Unmapped","No AuraShine evidence is mapped for this public Zenoti capability."
"API-004","api_changelog_index:api-004","API Change Log - 21 April 2026","api_change","https://docs.zenoti.com/changelog/api-change-log-21-april-2026","2026-04-21","{""salon"":true,""spa"":true,""medspa"":true,""fitness"":true,""barbershop"":true}","public","api_changelog_index","[]","NOT_EVIDENCED_IN_PHASE_0:UI","NOT_EVIDENCED_IN_PHASE_0:API_ROUTE","not_evidenced","NOT_EVIDENCED_IN_PHASE_0:SERVICE_REPOSITORY","NOT_EVIDENCED_IN_PHASE_0:DATABASE_TABLES","NOT_EVIDENCED_IN_PHASE_0:PERMISSION","NOT_EVIDENCED_IN_PHASE_0:AUDIT_EVENT","NOT_EVIDENCED_IN_PHASE_0:PROVIDER_DEVICE","NOT_EVIDENCED_IN_PHASE_0:AUTOMATED_TEST","NOT_EVIDENCED_IN_PHASE_0:UAT_EVIDENCE","Unmapped","No AuraShine evidence is mapped for this public Zenoti capability."
"API-005","api_changelog_index:api-005","API Change Log - 28 July 2026","api_change","https://docs.zenoti.com/changelog/api-change-log-28-july-2026","2026-07-28","{""salon"":true,""spa"":true,""medspa"":true,""fitness"":true,""barbershop"":true}","public","api_changelog_index","[]","NOT_EVIDENCED_IN_PHASE_0:UI","NOT_EVIDENCED_IN_PHASE_0:API_ROUTE","not_evidenced","NOT_EVIDENCED_IN_PHASE_0:SERVICE_REPOSITORY","NOT_EVIDENCED_IN_PHASE_0:DATABASE_TABLES","NOT_EVIDENCED_IN_PHASE_0:PERMISSION","NOT_EVIDENCED_IN_PHASE_0:AUDIT_EVENT","NOT_EVIDENCED_IN_PHASE_0:PROVIDER_DEVICE","NOT_EVIDENCED_IN_PHASE_0:AUTOMATED_TEST","NOT_EVIDENCED_IN_PHASE_0:UAT_EVIDENCE","Unmapped","No AuraShine evidence is mapped for this public Zenoti capability."
"API-006","api_changelog_index:api-006","API Change Log - 29 Jan 2026","api_change","https://docs.zenoti.com/changelog/api-change-log-29-jan-2026","2026-01-29","{""salon"":true,""spa"":true,""medspa"":true,""fitness"":true,""barbershop"":true}","public","api_changelog_index","[]","NOT_EVIDENCED_IN_PHASE_0:UI","NOT_EVIDENCED_IN_PHASE_0:API_ROUTE","not_evidenced","NOT_EVIDENCED_IN_PHASE_0:SERVICE_REPOSITORY","NOT_EVIDENCED_IN_PHASE_0:DATABASE_TABLES","NOT_EVIDENCED_IN_PHASE_0:PERMISSION","NOT_EVIDENCED_IN_PHASE_0:AUDIT_EVENT","NOT_EVIDENCED_IN_PHASE_0:PROVIDER_DEVICE","NOT_EVIDENCED_IN_PHASE_0:AUTOMATED_TEST","NOT_EVIDENCED_IN_PHASE_0:UAT_EVIDENCE","Unmapped","No AuraShine evidence is mapped for this public Zenoti capability."
"API-007","api_changelog_index:api-007","API Change Log - 31 March 2026","api_change","https://docs.zenoti.com/changelog/api-change-log-31-march-2026","2026-03-31","{""salon"":true,""spa"":true,""medspa"":true,""fitness"":true,""barbershop"":true}","public","api_changelog_index","[]","NOT_EVIDENCED_IN_PHASE_0:UI","NOT_EVIDENCED_IN_PHASE_0:API_ROUTE","not_evidenced","NOT_EVIDENCED_IN_PHASE_0:SERVICE_REPOSITORY","NOT_EVIDENCED_IN_PHASE_0:DATABASE_TABLES","NOT_EVIDENCED_IN_PHASE_0:PERMISSION","NOT_EVIDENCED_IN_PHASE_0:AUDIT_EVENT","NOT_EVIDENCED_IN_PHASE_0:PROVIDER_DEVICE","NOT_EVIDENCED_IN_PHASE_0:AUTOMATED_TEST","NOT_EVIDENCED_IN_PHASE_0:UAT_EVIDENCE","Unmapped","No AuraShine evidence is mapped for this public Zenoti capability."
"API-008","api_changelog_index:api-008","API Change Log - 4 Nov 2025","api_change","https://docs.zenoti.com/changelog/api-change-log-4-nov-2025","2025-11-04","{""salon"":true,""spa"":true,""medspa"":true,""fitness"":true,""barbershop"":true}","public","api_changelog_index","[]","NOT_EVIDENCED_IN_PHASE_0:UI","NOT_EVIDENCED_IN_PHASE_0:API_ROUTE","not_evidenced","NOT_EVIDENCED_IN_PHASE_0:SERVICE_REPOSITORY","NOT_EVIDENCED_IN_PHASE_0:DATABASE_TABLES","NOT_EVIDENCED_IN_PHASE_0:PERMISSION","NOT_EVIDENCED_IN_PHASE_0:AUDIT_EVENT","NOT_EVIDENCED_IN_PHASE_0:PROVIDER_DEVICE","NOT_EVIDENCED_IN_PHASE_0:AUTOMATED_TEST","NOT_EVIDENCED_IN_PHASE_0:UAT_EVIDENCE","Unmapped","No AuraShine evidence is mapped for this public Zenoti capability."
"API-009","api_changelog_index:api-009","API Change Log - 7 July 2026","api_change","https://docs.zenoti.com/changelog/api-change-log-7-july-2026","2026-07-07","{""salon"":true,""spa"":true,""medspa"":true,""fitness"":true,""barbershop"":true}","public","api_changelog_index","[]","NOT_EVIDENCED_IN_PHASE_0:UI","NOT_EVIDENCED_IN_PHASE_0:API_ROUTE","not_evidenced","NOT_EVIDENCED_IN_PHASE_0:SERVICE_REPOSITORY","NOT_EVIDENCED_IN_PHASE_0:DATABASE_TABLES","NOT_EVIDENCED_IN_PHASE_0:PERMISSION","NOT_EVIDENCED_IN_PHASE_0:AUDIT_EVENT","NOT_EVIDENCED_IN_PHASE_0:PROVIDER_DEVICE","NOT_EVIDENCED_IN_PHASE_0:AUTOMATED_TEST","NOT_EVIDENCED_IN_PHASE_0:UAT_EVIDENCE","Unmapped","No AuraShine evidence is mapped for this public Zenoti capability."
"API-010","api_changelog_index:api-010","API Change Log - 7 Oct 2025","api_change","https://docs.zenoti.com/changelog/api-change-log-7-oct-2025","2025-10-07","{""salon"":true,""spa"":true,""medspa"":true,""fitness"":true,""barbershop"":true}","public","api_changelog_index","[]","NOT_EVIDENCED_IN_PHASE_0:UI","NOT_EVIDENCED_IN_PHASE_0:API_ROUTE","not_evidenced","NOT_EVIDENCED_IN_PHASE_0:SERVICE_REPOSITORY","NOT_EVIDENCED_IN_PHASE_0:DATABASE_TABLES","NOT_EVIDENCED_IN_PHASE_0:PERMISSION","NOT_EVIDENCED_IN_PHASE_0:AUDIT_EVENT","NOT_EVIDENCED_IN_PHASE_0:PROVIDER_DEVICE","NOT_EVIDENCED_IN_PHASE_0:AUTOMATED_TEST","NOT_EVIDENCED_IN_PHASE_0:UAT_EVIDENCE","Unmapped","No AuraShine evidence is mapped for this public Zenoti capability."
