"id","vendor","category","subcategory","feature","officialUrl","sourceType","sourceKey","status","blocker"
"DIN-0001","dingg","Public feature","Feature page","Gift Cards","https://dingg.app/features/beauty-salon-gift-cards","feature_page","https://dingg.app/features/beauty-salon-gift-cards","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0002","dingg","Public feature","Feature page","DINGG AI Genius","https://dingg.app/features/dingg-ai-salon-software","feature_page","https://dingg.app/features/dingg-ai-salon-software","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0003","dingg","Public feature","Feature page","Forms & Surveys","https://dingg.app/features/forms-and-surveys","feature_page","https://dingg.app/features/forms-and-surveys","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0004","dingg","Public feature","Feature page","Multi-Location Support","https://dingg.app/features/salon-chain-management-software","feature_page","https://dingg.app/features/salon-chain-management-software","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0005","dingg","Public feature","Feature page","Client Feedback","https://dingg.app/features/salon-client-feedback-system","feature_page","https://dingg.app/features/salon-client-feedback-system","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0006","dingg","Public feature","Feature page","Personalized Profiles","https://dingg.app/features/salon-client-profile-software","feature_page","https://dingg.app/features/salon-client-profile-software","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0007","dingg","Public feature","Feature page","Customer Segmentation","https://dingg.app/features/salon-client-segmentation","feature_page","https://dingg.app/features/salon-client-segmentation","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0008","dingg","Public feature","Feature page","Inventory Control","https://dingg.app/features/salon-inventory-management-software","feature_page","https://dingg.app/features/salon-inventory-management-software","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0009","dingg","Public feature","Feature page","Easy Invoices","https://dingg.app/features/salon-invoicing-software","feature_page","https://dingg.app/features/salon-invoicing-software","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0010","dingg","Public feature","Feature page","Loyalty Rewards","https://dingg.app/features/salon-loyalty-program","feature_page","https://dingg.app/features/salon-loyalty-program","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0011","dingg","Public feature","Feature page","Targeted Marketing","https://dingg.app/features/salon-marketing-software-targeted-campaigns","feature_page","https://dingg.app/features/salon-marketing-software-targeted-campaigns","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0012","dingg","Public feature","Feature page","Membership Programs","https://dingg.app/features/salon-membership-program","feature_page","https://dingg.app/features/salon-membership-program","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0013","dingg","Public feature","Feature page","24/7 Online Booking","https://dingg.app/features/salon-online-booking-system","feature_page","https://dingg.app/features/salon-online-booking-system","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0014","dingg","Public feature","Feature page","Real-Time Reports","https://dingg.app/features/salon-reporting-software","feature_page","https://dingg.app/features/salon-reporting-software","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0015","dingg","Public feature","Feature page","Smart Scheduling","https://dingg.app/features/salon-scheduling-software","feature_page","https://dingg.app/features/salon-scheduling-software","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0016","dingg","Public feature","Feature page","Staff Management","https://dingg.app/features/salon-staff-management-software","feature_page","https://dingg.app/features/salon-staff-management-software","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"DIN-0017","dingg","Booking","Booking","How to add block time on the calendar?","https://docs.dingg.app/Booking/Booking/How_to_add_block_time_on_the_calendar?","help_topic","238","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
