"id","vendor","category","subcategory","feature","officialUrl","sourceType","sourceKey","status","blocker"
"SAL-0001","salonist","Reports & Analysis","Help Center","How can I verify which client has made a huge payment?","https://help.salonist.io/en/articles/10161837-how-can-i-verify-which-client-has-made-a-huge-payment","help_article","https://help.salonist.io/en/articles/10161837-how-can-i-verify-which-client-has-made-a-huge-payment","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0002","salonist","Other Settings","Help Center","How can I add the close of business day?","https://help.salonist.io/en/articles/10162156-how-can-i-add-the-close-of-business-day","help_article","https://help.salonist.io/en/articles/10162156-how-can-i-add-the-close-of-business-day","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0003","salonist","Other Settings","Help Center","How can I add a barcode reader option to Quick Sale?","https://help.salonist.io/en/articles/10162187-how-can-i-add-a-barcode-reader-option-to-quick-sale","help_article","https://help.salonist.io/en/articles/10162187-how-can-i-add-a-barcode-reader-option-to-quick-sale","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0004","salonist","Getting Started","Help Center","In case of any issues, how may a client submit a support ticket?","https://help.salonist.io/en/articles/10198777-in-case-of-any-issues-how-may-a-client-submit-a-support-ticket","help_article","https://help.salonist.io/en/articles/10198777-in-case-of-any-issues-how-may-a-client-submit-a-support-ticket","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0005","salonist","Client Management","Help Center","How can I add and remove notes at the time of billing?","https://help.salonist.io/en/articles/10198850-how-can-i-add-and-remove-notes-at-the-time-of-billing","help_article","https://help.salonist.io/en/articles/10198850-how-can-i-add-and-remove-notes-at-the-time-of-billing","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0006","salonist","Quick Sale","Help Center","How do I remove the applied coupon code?","https://help.salonist.io/en/articles/10199567-how-do-i-remove-the-applied-coupon-code","help_article","https://help.salonist.io/en/articles/10199567-how-do-i-remove-the-applied-coupon-code","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0007","salonist","Inventory Management","Help Center","How can I add a new quantity of products?","https://help.salonist.io/en/articles/10199702-how-can-i-add-a-new-quantity-of-products","help_article","https://help.salonist.io/en/articles/10199702-how-can-i-add-a-new-quantity-of-products","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0008","salonist","Staff Management","Help Center","How can we edit staff check-in and check-out times?","https://help.salonist.io/en/articles/10208672-how-can-we-edit-staff-check-in-and-check-out-times","help_article","https://help.salonist.io/en/articles/10208672-how-can-we-edit-staff-check-in-and-check-out-times","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0009","salonist","Staff Management","Help Center","What is the difference between ""Inactive"" and ""deleted"" Staffs?","https://help.salonist.io/en/articles/10208718-what-is-the-difference-between-inactive-and-deleted-staffs","help_article","https://help.salonist.io/en/articles/10208718-what-is-the-difference-between-inactive-and-deleted-staffs","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0010","salonist","Inventory Management","Help Center","How can we view deleted product history?","https://help.salonist.io/en/articles/10208760-how-can-we-view-deleted-product-history","help_article","https://help.salonist.io/en/articles/10208760-how-can-we-view-deleted-product-history","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0011","salonist","Client Management","Help Center","How to hide, unhide, and arrange fields in the client column?","https://help.salonist.io/en/articles/10208772-how-to-hide-unhide-and-arrange-fields-in-the-client-column","help_article","https://help.salonist.io/en/articles/10208772-how-to-hide-unhide-and-arrange-fields-in-the-client-column","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0012","salonist","Quick Sale","Help Center","How can we resend the invoice message?","https://help.salonist.io/en/articles/10221618-how-can-we-resend-the-invoice-message","help_article","https://help.salonist.io/en/articles/10221618-how-can-we-resend-the-invoice-message","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0013","salonist","Getting Started","Help Center","How can I check my current Salonist plan?","https://help.salonist.io/en/articles/10221651-how-can-i-check-my-current-salonist-plan","help_article","https://help.salonist.io/en/articles/10221651-how-can-i-check-my-current-salonist-plan","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0014","salonist","Inventory Management","Help Center","Can we change the product quantity in bulk?","https://help.salonist.io/en/articles/10229275-can-we-change-the-product-quantity-in-bulk","help_article","https://help.salonist.io/en/articles/10229275-can-we-change-the-product-quantity-in-bulk","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0015","salonist","Inventory Management","Help Center","How can we change product prices in bulk?","https://help.salonist.io/en/articles/10229299-how-can-we-change-product-prices-in-bulk","help_article","https://help.salonist.io/en/articles/10229299-how-can-we-change-product-prices-in-bulk","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0016","salonist","Quick Sale","Help Center","How do I add or delete ewallet amount?","https://help.salonist.io/en/articles/10229331-how-do-i-add-or-delete-ewallet-amount","help_article","https://help.salonist.io/en/articles/10229331-how-do-i-add-or-delete-ewallet-amount","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0017","salonist","Staff Management","Help Center","How can I copy the staff schedule?","https://help.salonist.io/en/articles/10229431-how-can-i-copy-the-staff-schedule","help_article","https://help.salonist.io/en/articles/10229431-how-can-i-copy-the-staff-schedule","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0018","salonist","Client Management","Help Center","How to check the client's number of visits in the salon?","https://help.salonist.io/en/articles/10230196-how-to-check-the-client-s-number-of-visits-in-the-salon","help_article","https://help.salonist.io/en/articles/10230196-how-to-check-the-client-s-number-of-visits-in-the-salon","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0019","salonist","Other Settings","Help Center","How can I enable and disable WhatsApp messages?","https://help.salonist.io/en/articles/10230445-how-can-i-enable-and-disable-whatsapp-messages","help_article","https://help.salonist.io/en/articles/10230445-how-can-i-enable-and-disable-whatsapp-messages","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0020","salonist","Getting Started","Help Center","How do I delete the services?","https://help.salonist.io/en/articles/10242916-how-do-i-delete-the-services","help_article","https://help.salonist.io/en/articles/10242916-how-do-i-delete-the-services","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0021","salonist","Reports & Analysis","Help Center","How can I see which invoice coupons are used?","https://help.salonist.io/en/articles/10272715-how-can-i-see-which-invoice-coupons-are-used","help_article","https://help.salonist.io/en/articles/10272715-how-can-i-see-which-invoice-coupons-are-used","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0022","salonist","Marketing Settings","Help Center","How does automation work?","https://help.salonist.io/en/articles/10419375-how-does-automation-work","help_article","https://help.salonist.io/en/articles/10419375-how-does-automation-work","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0023","salonist","Reports & Analysis","Help Center","How can I check which invoice coupons are being used?","https://help.salonist.io/en/articles/10505897-how-can-i-check-which-invoice-coupons-are-being-used","help_article","https://help.salonist.io/en/articles/10505897-how-can-i-check-which-invoice-coupons-are-being-used","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0024","salonist","Reports & Analysis","Help Center","How can I find out which invoices use reward points?","https://help.salonist.io/en/articles/10558214-how-can-i-find-out-which-invoices-use-reward-points","help_article","https://help.salonist.io/en/articles/10558214-how-can-i-find-out-which-invoices-use-reward-points","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0025","salonist","Client Management","Help Center","How ""Pet"" feature works in Salonist?","https://help.salonist.io/en/articles/10558295-how-pet-feature-works-in-salonist","help_article","https://help.salonist.io/en/articles/10558295-how-pet-feature-works-in-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0026","salonist","Other Settings","Help Center","How can I add a template type for a gift card?","https://help.salonist.io/en/articles/10631509-how-can-i-add-a-template-type-for-a-gift-card","help_article","https://help.salonist.io/en/articles/10631509-how-can-i-add-a-template-type-for-a-gift-card","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0027","salonist","Gift Card","Help Center","How can I add templates for gift cards?","https://help.salonist.io/en/articles/10631529-how-can-i-add-templates-for-gift-cards","help_article","https://help.salonist.io/en/articles/10631529-how-can-i-add-templates-for-gift-cards","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0028","salonist","Gift Card","Help Center","What are gift card default templates?","https://help.salonist.io/en/articles/10631606-what-are-gift-card-default-templates","help_article","https://help.salonist.io/en/articles/10631606-what-are-gift-card-default-templates","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0029","salonist","Gift Card","Help Center","How can I import the gift card into Salonist?","https://help.salonist.io/en/articles/10631650-how-can-i-import-the-gift-card-into-salonist","help_article","https://help.salonist.io/en/articles/10631650-how-can-i-import-the-gift-card-into-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0030","salonist","Gift Card","Help Center","How to change a gift card's expiry date?","https://help.salonist.io/en/articles/10631674-how-to-change-a-gift-card-s-expiry-date","help_article","https://help.salonist.io/en/articles/10631674-how-to-change-a-gift-card-s-expiry-date","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0031","salonist","Gift Card","Help Center","Is it possible to change the amount, once the gift card is generated?","https://help.salonist.io/en/articles/10631831-is-it-possible-to-change-the-amount-once-the-gift-card-is-generated","help_article","https://help.salonist.io/en/articles/10631831-is-it-possible-to-change-the-amount-once-the-gift-card-is-generated","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0032","salonist","Gift Card","Help Center","After a gift card is generated, how can it be printed?","https://help.salonist.io/en/articles/10631857-after-a-gift-card-is-generated-how-can-it-be-printed","help_article","https://help.salonist.io/en/articles/10631857-after-a-gift-card-is-generated-how-can-it-be-printed","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0033","salonist","Gift Card","Help Center","How to delete Gift card ?","https://help.salonist.io/en/articles/10631886-how-to-delete-gift-card","help_article","https://help.salonist.io/en/articles/10631886-how-to-delete-gift-card","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0034","salonist","Other Settings","Help Center","How can a coupon be deleted once it has been generated?","https://help.salonist.io/en/articles/11064464-how-can-a-coupon-be-deleted-once-it-has-been-generated","help_article","https://help.salonist.io/en/articles/11064464-how-can-a-coupon-be-deleted-once-it-has-been-generated","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0035","salonist","Other Settings","Help Center","How can I edit reward point for a specific client?","https://help.salonist.io/en/articles/11099026-how-can-i-edit-reward-point-for-a-specific-client","help_article","https://help.salonist.io/en/articles/11099026-how-can-i-edit-reward-point-for-a-specific-client","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0036","salonist","Other Settings","Help Center","How to import or export expenses data?","https://help.salonist.io/en/articles/11099204-how-to-import-or-export-expenses-data","help_article","https://help.salonist.io/en/articles/11099204-how-to-import-or-export-expenses-data","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0037","salonist","Other Settings","Help Center","How can we view past month's expenses?","https://help.salonist.io/en/articles/11099363-how-can-we-view-past-month-s-expenses","help_article","https://help.salonist.io/en/articles/11099363-how-can-we-view-past-month-s-expenses","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0038","salonist","Client Management","Help Center","How can I check the history of a client’s reward points?","https://help.salonist.io/en/articles/11562514-how-can-i-check-the-history-of-a-client-s-reward-points","help_article","https://help.salonist.io/en/articles/11562514-how-can-i-check-the-history-of-a-client-s-reward-points","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0039","salonist","Other Settings","Help Center","How to edit commission profile ?","https://help.salonist.io/en/articles/11562730-how-to-edit-commission-profile","help_article","https://help.salonist.io/en/articles/11562730-how-to-edit-commission-profile","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0040","salonist","Other Settings","Help Center","How can staff be transferred to another outlet?","https://help.salonist.io/en/articles/11568694-how-can-staff-be-transferred-to-another-outlet","help_article","https://help.salonist.io/en/articles/11568694-how-can-staff-be-transferred-to-another-outlet","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0041","salonist","Getting Started","Help Center","Is there a knowledge base or video demo support offered by Salonist?","https://help.salonist.io/en/articles/11568723-is-there-a-knowledge-base-or-video-demo-support-offered-by-salonist","help_article","https://help.salonist.io/en/articles/11568723-is-there-a-knowledge-base-or-video-demo-support-offered-by-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0042","salonist","Reports & Analysis","Help Center","How do I download or export leads?","https://help.salonist.io/en/articles/11568753-how-do-i-download-or-export-leads","help_article","https://help.salonist.io/en/articles/11568753-how-do-i-download-or-export-leads","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
